tile_count,solar_system_count,education_bachelor,education_college,education_doctoral,education_high_school_graduate,education_less_than_high_school,education_master,education_population,education_professional_school,employed,importance,entropy,heating_factor,gini_index,heating_fuel_coal_coke,heating_fuel_electricity,heating_fuel_fuel_oil_kerosene,heating_fuel_gas,heating_fuel_housing_unit_count,heating_fuel_none,heating_fuel_other,heating_fuel_solar
0,0,569,1690,13,1757,336,157,4548,26,3569,26.349,28.349,546,0.349,200,448,98,1720,2527,10,51,0
25,21,674,1434,108,767,222,285,3533,43,4795,43.4074,45.4074,396,0.4074,20,379,17,1799,2230,0,15,1
3,3,854,1459,31,1541,289,276,4480,30,3550,30.3926,32.3926,485,0.3926,69,440,45,2098,2698,29,17,0
0,0,640,1116,68,1095,231,270,3456,36,3483,36.3949,38.3949,503,0.3949,188,442,61,1113,1833,13,16,0
5,5,654,1314,15,982,163,170,3348,50,2887,50.4463,52.4463,544,0.4463,96,497,47,1202,1917,31,44,1
0,0,522,1395,24,1894,442,142,4448,29,3270,29.3847,31.3847,840,0.3847,72,759,81,1695,2656,45,4,1
2,2,49,278,32,119,35,45,584,26,1942,26.7166,28.7166,227,0.7166,3,222,5,193,470,16,31,1
0,0,242,867,10,1118,271,52,2587,27,2210,27.4317,29.4317,572,0.4317,108,382,190,783,1479,3,13,1
0,0,527,1665,6,2031,412,112,4771,18,3913,18.3824,20.3824,690,0.3824,241,534,156,1735,2723,20,37,0
11,10,1582,1949,6,1145,320,250,5451,199,4702,199.3588,201.3588,761,0.3588,18,734,27,2419,3282,29,55,1
16,15,658,1683,112,1281,529,242,4605,100,3689,100.4263,102.4263,1131,0.4263,0,1131,0,2074,3343,62,76,0
2,2,362,757,57,623,120,180,2134,35,1909,35.4433,37.4433,354,0.4433,13,346,8,1037,1490,65,21,0
3,3,1177,2125,40,1311,530,372,5693,138,4140,138.3733,140.3733,933,0.3733,16,923,10,2218,3258,63,28,1
0,0,642,1548,45,1296,213,247,4086,95,3532,95.3686,97.3686,451,0.3686,218,372,79,1515,2205,6,15,0
55,4,384,907,38,936,172,132,2588,19,2156,19.4102,21.4102,254,0.4102,146,185,69,1037,1437,0,0,1
1,1,431,1081,29,574,380,23,2518,0,1877,0.3651,2.3651,326,0.3651,40,287,39,1057,1423,0,0,1
4,2,308,903,8,871,514,121,2744,19,1956,19.4059,21.4059,691,0.4059,82,584,107,663,1494,50,8,0
0,0,207,808,4,1064,256,53,2402,10,1765,10.4566,12.4566,442,0.4566,115,255,187,794,1374,1,17,1
28,3,460,894,11,992,359,104,2845,25,2020,25.4276,27.4276,373,0.4276,37,341,32,1252,1728,15,51,1
1,1,340,673,50,515,124,90,1811,19,2006,19.3957,21.3957,543,0.3957,0,476,67,843,1395,0,9,1
2,2,480,846,34,447,412,190,2446,37,5107,37.4574,39.4574,965,0.4574,0,965,0,1505,2508,21,17,0
6,2,754,1137,26,680,147,293,3140,103,2857,103.4943,105.4943,890,0.4943,0,838,52,1276,2291,66,59,1
10,10,979,1072,99,572,92,346,3318,158,2799,158.3619,160.3619,225,0.3619,0,225,0,1484,1719,10,0,0
6,3,337,809,0,612,92,112,1974,12,1795,12.3536,14.3536,281,0.3536,7,238,43,879,1167,0,0,1
21,18,242,747,6,642,182,76,1903,8,1278,8.4104,10.4104,196,0.4104,7,140,56,922,1141,8,8,0
3,3,610,1168,35,914,269,207,3301,98,2506,98.5161,100.5161,703,0.5161,0,703,0,1423,2299,30,127,16
4,4,1401,1434,167,684,38,472,4307,111,4025,111.3725,113.3725,348,0.3725,15,345,3,2060,2489,57,9,1
0,0,354,1003,10,954,386,53,2784,24,2052,24.4022,26.4022,350,0.4022,94,323,27,1086,1558,0,28,1
6,2,162,676,6,928,149,61,2001,19,1730,19.4023,21.4023,378,0.4023,135,208,170,597,1131,4,17,1
10,8,701,929,35,804,196,315,3025,45,2168,45.4072,47.4072,547,0.4072,18,50,497,976,1545,4,0,0
2,2,742,610,96,465,145,460,2596,78,1727,78.4434,80.4434,985,0.4434,7,219,766,545,1553,0,16,1
11,9,51,305,0,860,689,27,1932,0,1279,0.5342,2.5342,130,0.5342,10,130,0,1067,1213,0,6,11
15,14,30,213,0,590,425,25,1307,24,880,24.3928,26.3928,58,0.3928,0,22,36,710,768,0,0,0
5,3,762,958,31,745,204,565,3443,178,2491,178.5091,180.5091,1045,0.5091,46,90,955,800,1933,0,42,0
27,15,395,1001,0,1042,434,154,3065,39,2196,39.5058,41.5058,354,0.5058,0,340,14,1706,2067,0,7,0
22,16,1223,1470,18,1295,242,599,4993,146,3241,146.4047,148.4047,394,0.4047,0,275,119,2430,2824,0,0,1
49,43,547,887,29,605,210,346,2669,45,1890,45.2961,47.2961,438,0.2961,16,21,417,748,1217,0,15,0
37,28,641,2086,29,1311,230,391,4722,34,3077,34.4492,36.4492,874,0.4492,225,69,805,1524,2660,26,11,0
0,0,688,966,0,809,138,326,3004,77,2504,77.5466,79.5466,1075,0.5466,113,86,989,337,1551,8,9,1
5,5,84,172,0,469,446,0,1171,0,935,0.5069,2.5069,41,0.5069,0,35,6,768,814,5,0,1
6,6,213,200,0,631,635,12,1691,0,1149,0.5171,2.5171,78,0.5171,0,78,0,1069,1147,0,0,0
247,157,1508,2086,63,1377,237,838,6214,105,4938,105.366,107.366,1812,0.366,128,439,1373,1125,3091,0,0,26
35,26,388,851,8,803,197,140,2481,94,2063,94.4415,96.4415,550,0.4415,26,291,259,890,1471,5,0,0
19,15,293,1013,0,1030,1209,68,3654,41,3133,41.3998,43.3998,327,0.3998,0,131,196,1540,1867,0,0,0
41,28,357,867,0,510,304,217,2366,111,1654,111.3574,113.3574,82,0.3574,36,54,28,1085,1208,0,0,5
26,19,442,513,57,375,98,495,2023,43,1583,43.4309,45.4309,284,0.4309,6,110,174,832,1127,0,5,0
6,5,115,348,18,543,556,37,1619,2,1147,2.4888,4.4888,144,0.4888,6,84,60,633,800,10,7,0
102,75,1008,1456,63,1105,198,649,4564,85,3505,85.3626,87.3626,1283,0.3626,50,55,1228,693,2039,0,13,0
76,51,823,760,87,715,69,717,3319,148,2026,148.4118,150.4118,1366,0.4118,85,295,1071,359,1819,0,9,0
11,5,115,597,17,859,581,101,2304,34,1475,34.5742,36.5742,435,0.5742,0,345,90,1044,1524,45,0,0
21,17,207,455,37,571,287,101,1680,22,1549,22.4866,24.4866,367,0.4866,5,229,138,610,989,7,0,0
22,15,126,498,22,665,258,104,1680,7,1184,7.3987,9.3987,338,0.3987,0,173,165,553,891,0,0,0
96,71,684,976,24,1043,426,319,3494,22,2497,22.4263,24.4263,1427,0.4263,14,408,1019,336,1803,0,16,10
211,125,1021,1794,41,1984,582,578,6081,81,4608,81.3948,83.3948,1039,0.3948,11,283,756,1872,2922,0,0,0
162,47,460,898,0,878,240,247,2731,8,2092,8.3671,10.3671,1094,0.3671,0,144,950,359,1488,8,27,0
4,3,352,926,7,991,286,101,2677,14,1844,14.3914,16.3914,945,0.3914,63,114,831,304,1330,4,14,0
21,13,468,852,22,909,271,315,2893,56,2433,56.4175,58.4175,813,0.4175,69,80,733,675,1585,0,28,0
7,5,36,320,0,556,642,47,1611,10,1288,10.4773,12.4773,310,0.4773,0,184,126,722,1032,0,0,0
4,4,131,195,0,744,748,48,1866,0,1483,0.4974,2.4974,166,0.4974,10,59,107,903,1096,0,17,0
29,20,845,1465,107,1877,442,486,5375,153,3649,153.4202,155.4202,1586,0.4202,255,83,1503,674,2554,15,24,1
30,22,658,1543,0,1475,499,229,4476,72,3486,72.3883,74.3883,602,0.3883,26,485,117,2004,2645,0,13,0
24,19,304,640,0,900,337,99,2312,32,1529,32.4945,34.4945,212,0.4945,31,167,45,1088,1360,0,29,1
8,7,272,624,5,780,410,93,2216,32,1363,32.5063,34.5063,341,0.5063,0,289,52,1030,1382,0,11,1
11,11,141,393,0,410,215,30,1189,0,873,0.3727,2.3727,86,0.3727,0,66,20,589,678,0,3,0
62,28,469,927,42,635,174,257,2574,70,1899,70.3158,72.3158,320,0.3158,18,100,220,919,1257,0,0,0
7,7,130,447,0,809,729,39,2154,0,1271,0.5101,2.5101,558,0.5101,0,339,219,669,1269,42,0,0
45,27,180,478,0,411,91,133,1303,10,1018,10.3871,12.3871,359,0.3871,33,20,339,370,762,0,0,11
26,23,266,968,12,998,707,176,3133,6,2214,6.4295,8.4295,181,0.4295,8,175,6,1340,1546,17,0,0
80,58,511,1292,21,780,272,348,3299,75,2620,75.3021,77.3021,1225,0.3021,59,51,1174,224,1537,0,29,0
110,80,655,1060,33,751,144,566,3236,27,2169,27.47,29.47,1210,0.47,31,111,1099,508,1780,25,6,0
17,12,522,635,48,492,183,141,2030,9,1551,9.3583,11.3583,567,0.3583,0,90,477,656,1235,0,12,0
67,44,314,673,6,1000,241,120,2407,53,1873,53.3246,55.3246,771,0.3246,66,40,731,329,1209,0,43,0
28,18,564,1447,16,1313,466,329,4167,32,3347,32.3923,34.3923,1131,0.3923,93,166,965,988,2227,0,15,0
42,29,396,1099,42,921,514,140,3127,15,2321,15.4577,17.4577,221,0.4577,0,164,57,1531,1801,27,11,11
33,22,619,1064,0,1073,335,394,3587,102,2469,102.3914,104.3914,386,0.3914,9,178,208,1409,1812,8,0,0
13,3,448,740,17,573,237,242,2275,18,1457,18.5478,20.5478,1038,0.5478,40,229,809,169,1247,0,0,0
0,0,609,1333,18,1145,486,320,3938,27,3191,27.3541,29.3541,1554,0.3541,163,47,1507,225,1975,33,0,0
105,25,522,742,17,1036,463,343,3155,32,2088,32.439,34.439,1213,0.439,80,101,1112,374,1673,0,6,0
32,20,394,692,20,557,156,143,1978,16,1448,16.3318,18.3318,154,0.3318,54,91,63,725,942,9,0,0
88,58,381,1025,14,592,190,237,2450,11,1928,11.3539,13.3539,410,0.3539,0,151,259,1057,1482,15,0,0
39,29,492,903,31,1006,405,269,3133,27,2031,27.3593,29.3593,297,0.3593,23,109,188,1190,1518,8,0,0
62,40,649,1759,0,1707,721,443,5313,34,3597,34.4656,36.4656,898,0.4656,0,788,110,2061,3045,72,14,1
11,10,671,1670,41,1980,537,295,5227,33,2559,33.3753,35.3753,1339,0.3753,177,87,1252,149,1708,0,43,0
5,4,317,754,0,1343,437,66,2924,7,1779,7.3932,9.3932,740,0.3932,114,93,647,800,1654,0,0,1
0,0,175,724,9,1201,315,173,2610,13,1390,13.5114,15.5114,890,0.5114,182,91,799,394,1508,0,42,1
0,0,472,1020,0,1077,163,286,3027,9,2389,9.3744,11.3744,1031,0.3744,212,10,1021,250,1493,0,0,0
0,0,378,992,29,939,183,294,2842,27,2252,27.368,29.368,735,0.368,66,22,713,618,1434,0,6,9
0,0,406,571,7,495,109,123,1742,31,1372,31.3689,33.3689,639,0.3689,30,35,604,141,814,0,4,0
61,28,1004,1264,83,1442,557,409,4892,133,2588,133.4386,135.4386,1030,0.4386,81,90,940,698,1837,0,28,1
36,8,691,781,30,694,223,188,2668,61,1849,61.4252,63.4252,296,0.4252,6,212,84,1232,1562,28,0,0
11,9,607,772,22,367,84,343,2273,78,1805,78.4611,80.4611,402,0.4611,0,169,233,842,1244,0,0,0
36,27,667,1212,48,1110,204,306,3632,85,2530,85.38,87.38,1265,0.38,51,67,1198,274,1616,0,18,8
26,18,305,898,23,753,323,118,2420,0,1646,0.4557,2.4557,467,0.4557,0,301,166,1022,1509,20,0,0
53,34,546,644,33,411,303,309,2301,55,2216,55.4242,57.4242,273,0.4242,19,127,146,1015,1307,0,0,0
56,39,386,770,54,991,482,112,2826,31,2041,31.4076,33.4076,814,0.4076,13,228,586,834,1691,0,30,0
107,72,513,1312,20,961,344,280,3462,32,2420,32.3666,34.3666,500,0.3666,10,199,301,1285,1818,14,9,0
56,39,612,975,45,791,126,417,3049,83,2334,83.3809,85.3809,584,0.3809,11,236,348,1113,1715,0,7,0
162,106,673,1200,11,979,148,412,3520,97,2697,97.4503,99.4503,1270,0.4503,20,338,932,489,1787,7,1,0
111,76,945,1577,38,1707,389,369,5114,89,3946,89.3392,91.3392,1803,0.3392,151,210,1593,423,2401,15,9,0
33,25,306,820,9,592,156,224,2121,14,1530,14.3812,16.3812,210,0.3812,34,85,125,849,1110,6,11,0
90,71,853,1340,48,674,295,697,4047,140,3426,140.3303,142.3303,462,0.3303,45,74,388,1480,1987,0,0,0
17,4,492,387,131,116,19,461,1661,55,776,55.3174,57.3174,294,0.3174,0,252,42,506,814,4,10,0
9,7,397,624,49,541,104,339,2092,38,1583,38.3679,40.3679,967,0.3679,23,78,889,185,1182,0,7,0
111,56,663,843,91,738,84,410,2941,112,2154,112.3986,114.3986,1016,0.3986,36,84,932,319,1402,0,23,8
59,46,1057,1076,13,871,337,554,3969,61,3451,61.3663,63.3663,423,0.3663,13,180,243,1510,1999,36,12,5
102,73,646,830,24,539,129,241,2451,42,1817,42.3155,44.3155,420,0.3155,0,67,353,796,1230,0,14,0
147,109,1430,1153,25,707,46,616,4169,192,3135,192.4082,194.4082,1076,0.4082,14,80,996,1037,2127,0,0,0
99,68,756,1240,36,1012,244,275,3600,37,2535,37.4028,39.4028,313,0.4028,25,114,199,1673,2011,0,0,0
82,69,380,1056,56,583,124,339,2591,53,2515,53.4576,55.4576,206,0.4576,0,206,0,905,1148,19,5,13
123,100,524,1258,43,657,330,370,3226,44,2306,44.4084,46.4084,154,0.4084,0,154,0,1318,1478,6,0,0
85,72,726,296,130,375,161,288,2505,529,1650,529.5052,531.5052,197,0.5052,0,197,0,848,1058,0,0,13
77,44,1223,1063,274,1311,323,381,4859,284,2655,284.5405,286.5405,1113,0.5405,0,1113,0,1489,2659,57,0,0
36,21,905,718,85,318,71,324,2654,233,1823,233.564,235.564,504,0.564,0,494,10,1288,1829,21,16,0
7,6,158,707,52,846,639,103,2505,0,1599,0.433,2.433,398,0.433,0,398,0,816,1286,72,0,0
46,32,875,718,88,267,100,440,2727,239,1947,239.5376,241.5376,333,0.5376,0,333,0,1087,1461,41,0,0
29,25,1649,1038,175,552,207,702,4848,525,3844,525.4666,527.4666,808,0.4666,0,808,0,2415,3223,0,0,11
40,33,567,728,0,919,772,171,3160,3,1918,3.44,5.44,379,0.44,0,379,0,836,1225,10,0,0
68,53,1476,697,309,184,80,830,4230,654,2970,654.5685,656.5685,682,0.5685,0,682,0,1939,2621,0,0,1
79,66,526,1249,10,610,304,120,2858,39,2192,39.3638,41.3638,226,0.3638,0,226,0,1129,1411,56,0,0
38,35,315,782,9,525,242,88,1974,13,1536,13.4096,15.4096,107,0.4096,0,107,0,777,893,9,0,1
83,67,552,1197,32,861,447,65,3189,35,2181,35.3321,37.3321,314,0.3321,0,314,0,1092,1422,16,0,0
